红楼梦,[清] 曹雪芹 著 ,[清,清,,,,
小径分岔的花园,[阿根廷] 博尔赫斯 ,[阿,阿,,,,
昨日的世界,[奥] 斯蒂芬·茨威格 ,[奥,奥,,,,
一个陌生女人的来信,[奥] 斯蒂芬·茨威格 ,[奥,奥,,,,
象棋的故事,[奥] 斯蒂芬·茨威格 ,[奥,奥,,,中,135
给青年诗人的信,[奥] 里尔克 ,[奥,奥,,,英,23
荆棘鸟,[澳] 考琳·麦卡洛 ,[澳,澳,,,意,8
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略 ,[巴,巴,,,日,17
我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇 ,[白,白,,,美,36
二手时间,[白俄] S. A. 阿列克谢耶维奇 ,[白,白,,,法,6
悉达多,[德] 赫尔曼·黑塞 ,[德,德,,,俄,3
格林童话全集,[德国]格林兄弟 ,[德,德,,,白俄,2
德米安,[德] 赫尔曼·黑塞 ,[德,德,,,奥,5
荒原狼,[德]赫尔曼·黑塞 ,[德,德,,,古希腊,2
香水,[德] 帕·聚斯金德 ,[德,德,,,哥伦比亚,3
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基 ,[俄,俄,,,其他,10
罪与罚,[俄] 陀思妥耶夫斯基 ,[俄,俄,,,,
安娜·卡列尼娜,[俄] 列夫·托尔斯泰 ,[俄,俄,,,,
小王子,[法] 圣埃克苏佩里 ,[法,法,,,,
局外人,[法] 阿尔贝·加缪 ,[法,法,,,,
悲惨世界（上中下）,[法] 雨果 ,[法,法,,,,
鼠疫,[法] 阿尔贝·加缪 ,[法,法,,,,
规训与惩罚,[法] 米歇尔·福柯 ,[法,法,,,,
社会契约论,[法] 卢梭 ,[法,法,,,,
百年孤独,[哥伦比亚] 加西亚·马尔克斯 ,[哥,哥,,,,
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 ,[哥,哥,,,,
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 ,[哥,哥,,,,
理想国,[古希腊] 柏拉图 ,[古,古,,,,
会饮篇,[古希腊] 柏拉图 ,[古,古,,,,
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 ,[加,加,,,,
飘,[美国] 玛格丽特·米切尔 ,[美,美,,,,
杀死一只知更鸟,[美] 哈珀·李 ,[美,美,,,,
肖申克的救赎,[美] 斯蒂芬·金 ,[美,美,,,,
邓小平时代,[美] 傅高义 ,[美,美,,,,
江城,[美] 彼得·海斯勒 ,[美,美,,,,
万历十五年,[美] 黄仁宇 ,[美,美,,,,
追风筝的人,[美] 卡勒德·胡赛尼 ,[美,美,,,,
寻路中国,[美] 彼得·海斯勒 ,[美,美,,,,
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 ,[美,美,,,,
永恒的终结,[美] 艾萨克·阿西莫夫 ,[美,美,,,,
灿烂千阳,[美] 卡勒德·胡赛尼 ,[美,美,,,,
最好的告别,[美] 阿图·葛文德（Atul Gawande） ,[美,美,,,,
教父,[美]马里奥·普佐 ,[美,美,,,,
斯通纳,[美] 约翰·威廉斯 ,[美,美,,,,
叫魂,[美] 孔飞力 ,[美,美,,,,
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗 ,[美,美,,,,
故事,[美] 罗伯特·麦基 ,[美,美,,,,
经济学原理（上下）,[美] 曼昆 ,[美,美,,,,
也许你该找个人聊聊,[美]洛莉·戈特利布 ,[美,美,,,,
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 ,[美,美,,,,
爱的艺术,[美] 艾·弗洛姆 ,[美,美,,,,
社会心理学,[美] 戴维·迈尔斯 ,[美,美,,,,
麦琪的礼物,[美] 欧·亨利 ,[美,美,,,,
渴望生活,[美] 欧文·斯通 ,[美,美,,,,
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 ,[美,美,,,,
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 ,[美,美,,,,
当呼吸化为空气,[美] 保罗·卡拉尼什 ,[美,美,,,,
认识电影,[美] 路易斯·贾内梯 ,[美,美,,,,
你一生的故事,[美] 特德·姜 ,[美,美,,,,
火星救援,[美] 安迪·威尔 ,[美,美,,,,
众病之王,[美] 悉达多·穆克吉 ,[美,美,,,,
从一到无穷大,[美] G. 伽莫夫 ,[美,美,,,,
了不起的盖茨比,[美] 斯科特·菲茨杰拉德 ,[美,美,,,,
夏洛的网,[美] E.B.怀特 ,[美,美,,,,
黑客与画家,[美] Paul Graham ,[美,美,,,,
狂热分子,[美] 埃里克·霍弗 ,[美,美,,,,
三国演义（全二册）,[明] 罗贯中 ,[明,明,,,,
水浒传（全二册）,[明] 施耐庵 ,[明,明,,,,
天生有罪,[南非] 特雷弗·诺亚 ,[南,南,,,,
苏菲的世界,[挪] 乔斯坦·贾德 ,[挪,挪,,,,
失明症漫记,[葡] 若泽·萨拉马戈 ,[葡,葡,,,,
白夜行,[日] 东野圭吾 ,[日,日,,,,
嫌疑人X的献身,[日] 东野圭吾 ,[日,日,,,,
窗边的小豆豆,[日] 黑柳彻子 著 ,[日,日,,,,
金色梦乡,[日] 伊坂幸太郎 ,[日,日,,,,
绝叫,[日] 叶真中显 ,[日,日,,,,
克莱因壶,[日]冈岛二人 ,[日,日,,,,
桶川跟踪狂杀人事件,[日] 清水洁 ,[日,日,,,,
情书,[日] 岩井俊二 ,[日,日,,,,
罗生门,[日] 芥川龙之介 ,[日,日,,,,
恶意,[日] 东野圭吾 ,[日,日,,,,
解忧杂货店,[日] 东野圭吾 ,[日,日,,,,
步履不停,[日] 是枝裕和 ,[日,日,,,,
消失的13级台阶,[日] 高野和明 ,[日,日,,,,
从零开始的女性主义,[日本] 上野千鹤子 ,[日,日,,,,
如父如子,[日] 是枝裕和 ,[日,日,,,,
黑箱,[日]伊藤诗织 ,[日,日,,,,
金阁寺,[日] 三岛由纪夫 ,[日,日,,,,
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 ,[瑞,瑞,,,,
雕刻时光,[苏] 安德烈·塔可夫斯基 ,[苏,苏,,,,
人类简史,[以色列] 尤瓦尔·赫拉利 ,[以,以,,,,
失踪的孩子,[意] 埃莱娜·费兰特 ,[意,意,,,,
新名字的故事,[意] 埃莱娜·费兰特 ,[意,意,,,,
树上的男爵,[意] 伊塔洛·卡尔维诺 ,[意,意,,,,
看不见的城市,[意] 伊塔洛·卡尔维诺 ,[意,意,,,,
离开的，留下的,[意] 埃莱娜·费兰特 ,[意,意,,,,
我的天才女友,[意] 埃莱娜·费兰特 ,[意,意,,,,
时间的秩序,[意] 卡洛·罗韦利 ,[意,意,,,,
不存在的骑士,[意] 伊塔洛·卡尔维诺 ,[意,意,,,,
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 ,[印,印,,,,
1984,[英] 乔治·奥威尔 ,[英,英,,,,
动物农场,[英] 乔治·奥威尔 ,[英,英,,,,
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,[英,英,,,,
东方快车谋杀案,[英] 阿加莎·克里斯蒂 ,[英,英,,,,
月亮和六便士,[英] 毛姆 ,[英,英,,,,
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) ,[英,英,,,,
刀锋,[英]毛姆 ,[英,英,,,,
罗杰疑案,[英] 阿加莎·克里斯蒂 ,[英,英,,,,
无人生还,[英] 阿加莎?克里斯蒂 ,[英,英,,,,
傲慢与偏见,[英] 奥斯丁 ,[英,英,,,,
巨人的陨落,[英] 肯·福莱特 ,[英,英,,,,
人生的枷锁,[英] 毛姆 ,[英,英,,,,
美丽新世界,[英] 赫胥黎 ,[英,英,,,,
时间简史,[英] 史蒂芬·霍金 ,[英,英,,,,
王尔德童话,[英] 王尔德 ,[英,英,,,,
长日将尽,[英] 石黑一雄 ,[英,英,,,,
万物有灵且美,[英] 吉米·哈利 ,[英,英,,,,
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 ,[英,英,,,,
银河系漫游指南,[英] 道格拉斯·亚当斯 ,[英,英,,,,
2001：太空漫游,[英] 阿瑟·克拉克 ,[英,英,,,,
毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆 ,[英,英,,,,
现代艺术150年,[英] 威尔·贡培兹 ,[英,英,,,,
哈姆莱特,[英] 莎士比亚 ,[英,英,,,,
活着,余华 ,#VALUE!,#VALUE!,,,,
三体全集,刘慈欣 ,#VALUE!,#VALUE!,,,,
哈利·波特,J.K.罗琳 (J.K.Rowling) ,#VALUE!,#VALUE!,,,,
房思琪的初恋乐园,林奕含 ,#VALUE!,#VALUE!,,,,
安徒生童话故事集,（丹麦）安徒生 ,#VALUE!,#VALUE!,,,,
天龙八部,金庸 ,#VALUE!,#VALUE!,,,,
撒哈拉的故事,三毛 ,#VALUE!,#VALUE!,,,,
呐喊,鲁迅 ,#VALUE!,#VALUE!,,,,
明朝那些事儿（1-9）,当年明月 ,#VALUE!,#VALUE!,,,,
沉默的大多数,王小波 ,#VALUE!,#VALUE!,,,,
中国历代政治得失,钱穆 ,#VALUE!,#VALUE!,,,,
平凡的世界（全三部）,路遥 ,#VALUE!,#VALUE!,,,,
围城,钱锺书 ,#VALUE!,#VALUE!,,,,
笑傲江湖（全四册）,金庸 ,#VALUE!,#VALUE!,,,,
乡土中国,费孝通 ,#VALUE!,#VALUE!,,,,
野草,鲁迅 ,#VALUE!,#VALUE!,,,,
白鹿原,陈忠实 ,#VALUE!,#VALUE!,,,,
基督山伯爵,大仲马 ,#VALUE!,#VALUE!,,,,
我与地坛,史铁生 ,#VALUE!,#VALUE!,,,,
城南旧事,林海音 文 ,#VALUE!,#VALUE!,,,,
彷徨,鲁迅 ,#VALUE!,#VALUE!,,,,
射雕英雄传,金庸 ,#VALUE!,#VALUE!,,,,
许三观卖血记,余华 ,#VALUE!,#VALUE!,,,,
朝花夕拾,鲁迅 ,#VALUE!,#VALUE!,,,,
故事新编,鲁迅 ,#VALUE!,#VALUE!,,,,
黄金时代,王小波 ,#VALUE!,#VALUE!,,,,
史记（全十册）,司马迁 ,#VALUE!,#VALUE!,,,,
中国少年儿童百科全书（全四册）,林崇德 主编 ,#VALUE!,#VALUE!,,,,
历史深处的忧虑,林达 ,#VALUE!,#VALUE!,,,,
神雕侠侣,金庸 ,#VALUE!,#VALUE!,,,,
上帝掷骰子吗,曹天元 ,#VALUE!,#VALUE!,,,,
西游记（全二册）,吴承恩 ,#VALUE!,#VALUE!,,,,
诗经,孔丘 编订 ,#VALUE!,#VALUE!,,,,
文学回忆录,木心 口述 ,#VALUE!,#VALUE!,,,,
台北人,白先勇 ,#VALUE!,#VALUE!,,,,
哭泣的骆驼,三毛 ,#VALUE!,#VALUE!,,,,
人间词话,王国维 ,#VALUE!,#VALUE!,,,,
厌女,上野千鹤子 ,#VALUE!,#VALUE!,,,,
浪潮之巅,吴军 ,#VALUE!,#VALUE!,,,,
唐诗三百首,蘅塘退士 ,#VALUE!,#VALUE!,,,,
看见,柴静 ,#VALUE!,#VALUE!,,,,
呼兰河传,萧红 ,#VALUE!,#VALUE!,,,,
美的历程,李泽厚 ,#VALUE!,#VALUE!,,,,
孽子,白先勇 ,#VALUE!,#VALUE!,,,,
道德经,黄元吉 ,#VALUE!,#VALUE!,,,,
爱你就像爱生命,王小波 ,#VALUE!,#VALUE!,,,,
我们仨,杨绛 ,#VALUE!,#VALUE!,,,,
冬牧场,李娟 ,#VALUE!,#VALUE!,,,,
海子的诗,海子 ,#VALUE!,#VALUE!,,,,
人生的智慧,(德)叔本华 ,#VALUE!,#VALUE!,,,,
四世同堂,老舍 ,#VALUE!,#VALUE!,,,,
鹿鼎记,金庸 ,#VALUE!,#VALUE!,,,,
秋园,杨本芬 ,#VALUE!,#VALUE!,,,,
梦里花落知多少,三毛 ,#VALUE!,#VALUE!,,,,
这些人，那些事,吴念真 ,#VALUE!,#VALUE!,,,,
陆犯焉识,严歌苓 ,#VALUE!,#VALUE!,,,,
边城,沈从文 ,#VALUE!,#VALUE!,,,,
置身事内,兰小欢 ,#VALUE!,#VALUE!,,,,
刘擎西方现代思想讲义,刘擎 ,#VALUE!,#VALUE!,,,,
